"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,80.4465,NA,80.4465
1922,25.8625,NA,25.8625
1923,26.468,NA,26.468
1924,60.4375,NA,60.4375
1925,34.5785,NA,34.5785
1926,82.1325,NA,82.1325
1927,283.7305,NA,283.7305
1928,71.2375,NA,71.2375
1929,111.7685,NA,111.7685
1930,292.619,NA,292.619
1931,117.4825,NA,117.4825
1932,45.75,NA,45.75
1933,2.8,NA,2.8
1935,866.28,NA,866.28
1936,756.68,NA,756.68
1937,575.6,NA,575.6
1938,453.04,1043.43034466011,1496.47034466011
1939,474.64,1035.29069003424,1509.93069003424
1940,242.76,438.535620938167,681.295620938167
1941,249.28,727.909359005521,977.189359005522
1942,0,2419.27019665876,2419.27019665876
1943,1246.36,13.9310187057764,1260.29101870578
1944,2047.99,14.642822581254,2062.63282258125
1945,1574.69,15.3546264567316,1590.04462645673
1946,1807.61,16.0664303322093,1823.67643033221
1947,651.75,17.4391949492018,669.189194949202
1948,2284.18,26.1286424453629,2310.30864244536
1949,1223.16,34.8180899415239,1257.97808994152
1950,886.12,27.2950347816009,913.415034781601
1951,361.4,30.9883308757845,392.388330875784
1952,634.54,32.0690271097284,666.609027109728
1953,1234.12,33.1497233436723,1267.26972334367
1954,981.4,35.149553279538,1016.54955327954
1955,420,37.1493832154037,457.149383215404
1956,235,39.1492131512694,274.149213151269
1957,619,40.2169189644859,659.216918964486
1958,1291,34.980076166329,1325.98007616633
1959,26,33.5564684153738,59.5564684153738
1960,462,32.4132605482228,494.413260548223
1961,428,42.5048599928068,470.504859992807
1962,196,44.0379330111837,240.037933011184
1963,50,60.6187941728275,110.618794172827
1964,352,50.9262879082835,402.926287908284
1965,65,30381.6680061059,30446.6680061059
1966,3,6483.62368401096,6486.62368401096
1967,0,1958.12716773017,1958.12716773017
1968,0,7056.30849473,7056.30849473
1969,24,3181.0136137164,3205.0136137164
1970,531,4424.74293680631,4955.74293680631
1971,100,833.236064378026,933.236064378026
1972,352,19700.6833937036,20052.6833937036
1973,97,14128.2037851344,14225.2037851344
1974,575,6192.42526541743,6767.42526541743
1975,7113,5608.9845927663,12721.9845927663
1976,2668,7475.87956765096,10143.879567651
1977,2147,8620.91701349962,10767.9170134996
1978,1137,13963.6929464826,15100.6929464826
1979,856,18232.065040111,19088.065040111
1980,3533,23618.4029652669,27151.4029652669
1981,2042,5619.93836679042,7661.93836679042
1982,1376,18675.0415314311,20051.0415314311
1983,1456,16896.1974179853,18352.1974179853
1984,543,8346.32531280591,8889.32531280591
1985,237,7157.79783709223,7394.79783709223
1986,583,9228.71475166491,9811.71475166491
1987,466,11320.3925621188,11786.3925621188
1988,8462,8171.06538397416,16633.0653839742
1989,3029,6565.8929211767,9594.8929211767
1990,833,4531.98810089845,5364.98810089845
1991,794,12178.3446778206,12972.3446778206
1992,527,4731.80558678103,5258.80558678103
1993,754,5684.59786822995,6438.59786822995
1994,281,2627.33267194333,2908.33267194333
1995,456,1924.04432591816,2380.04432591816
1996,82,2201.9300461595,2283.9300461595
1997,10,2866.88219000989,2876.88219000989
1998,0,1479.34085844458,1479.34085844458
1999,67,991.005619636524,1058.00561963652
2000,13,848.058136702097,861.058136702097
2001,50,483.066830609255,533.066830609255
2002,3,443.981163811356,446.981163811356
2003,0,87.6843084701726,87.6843084701726
2004,0,3.18773380293984,3.18773380293984
2005,0,15.8872399728057,15.8872399728057
2006,0,6.30862527853739,6.30862527853739
2007,0,19.7975559389798,19.7975559389798
2008,0,4.78498967989572,4.78498967989572
2009,0,19.7566517787206,19.7566517787206
2010,0,3.4676363587725,3.4676363587725
2011,20,1.30960825297281,21.3096082529728
2012,0,3.99193556547912,3.99193556547912
2013,0,0.104168351071791,0.104168351071791
2014,0,2.70293500380215,2.70293500380215
2015,0,0,0
2016,20,5.40290905876612,25.4029090587661
2017,0,29.541369134495,29.541369134495
2018,53,2.9735162697978,55.9735162697978
2019,9,6.46995353925225,15.4699535392523
2020,0,NA,0
