"year","CAN_rec_catch_lbs","CAN_comm_catch_lbs","CAN_FSC_catch_lbs","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1918,1984.158,37699.002,1543.234,NA,NA,41226.394
1919,1984.158,93696.35,1543.234,NA,NA,97223.742
1920,1984.158,46958.406,1543.234,NA,NA,50485.798
1921,1984.158,40565.008,1543.234,80.4465,NA,44172.8465
1922,1984.158,50926.722,1543.234,25.8625,NA,54479.9765
1923,1984.158,48060.716,1543.234,26.468,NA,51614.576
1924,1984.158,55776.886,1543.234,60.4375,NA,59364.7155
1925,1984.158,47619.792,1543.234,34.5785,NA,51181.7625
1926,1984.158,55335.962,1543.234,82.1325,NA,58945.4865
1927,1984.158,55335.962,1543.234,283.7305,NA,59147.0845
1928,1984.158,55997.348,1543.234,71.2375,NA,59595.9775
1929,1984.158,73193.384,1543.234,111.7685,NA,76832.5445
1930,1984.158,67461.372,1543.234,292.619,NA,71281.383
1931,1984.158,43210.552,1543.234,117.4825,NA,46855.4265
1932,1984.158,50485.798,1763.696,45.75,NA,54279.402
1933,1984.158,24250.82,1763.696,2.8,NA,28001.474
1934,1984.158,28660.06,1984.158,NA,NA,32628.376
1935,1984.158,36596.692,2204.62,866.28,NA,41651.75
1936,1984.158,39683.16,2425.082,756.68,NA,44849.08
1937,1984.158,31085.142,2425.082,575.6,NA,36069.982
1938,1984.158,108026.38,2645.544,453.04,241.588478169001,113350.710478169
1939,1984.158,20723.428,2866.006,474.64,247.324186471889,26295.5561864719
1940,1984.158,22487.124,2866.006,242.76,438.535620938167,28018.5836209382
1941,1984.158,13889.106,3086.468,249.28,727.909359005521,19936.9213590055
1942,1984.158,31966.99,3086.468,0,354.768739701698,37392.3847397017
1943,1984.158,185188.08,3306.93,1246.36,369.419956090559,192094.947956091
1944,1984.158,275577.5,3306.93,2047.99,384.07117247942,283300.649172479
1945,1984.158,295419.08,3527.392,1574.69,398.72238886828,302904.042388868
1946,2204.62,198415.8,3527.392,1807.61,413.373605257141,206368.795605257
1947,4409.24,63713.518,3527.392,651.75,448.693501908859,72750.5935019089
1948,6834.322,96562.356,3747.854,2284.18,672.264523281271,110100.976523281
1949,9038.942,130072.58,3747.854,1223.16,895.835544653683,144978.371544654
1950,11243.562,55115.5,3747.854,886.12,702.274662136347,71695.3106621363
1951,13448.182,39683.16,3968.316,361.4,797.299573716992,58258.357573717
1952,15873.264,30423.756,3968.316,634.54,825.104835319977,51724.98083532
1953,18077.884,64154.442,4188.778,1234.12,852.910096922962,88508.134096923
1954,20282.504,39683.16,4188.778,981.4,904.363773526699,66040.2057735267
1955,22487.124,39462.698,4409.24,420,955.817450130436,67734.8794501304
1956,24912.206,37478.54,4629.702,235,1007.27112673417,68262.7191267342
1957,27116.826,64595.366,4629.702,619,1034.74215746329,97995.6361574633
1958,29321.446,93916.812,4850.164,1291,900.003292458585,130279.425292459
1959,31526.066,98766.976,5070.626,26,863.375251486434,136253.043251486
1960,33951.148,77602.624,5070.626,462,833.961626441476,117920.359626441
1961,37919.464,59304.278,5291.088,428,1093.60865188282,104036.438651883
1962,37919.464,93916.812,5291.088,196,1133.05312757686,138456.417127577
1963,37919.464,72531.998,5291.088,50,1559.66253706815,117352.212537068
1964,37919.464,43210.552,5291.088,352,1310.28379047006,88083.3877904701
1965,37919.464,39462.698,5511.55,65,1060.90504387197,84019.617043872
1966,37919.464,31746.528,5511.55,3,6483.62368401096,81664.1656840109
1967,37919.464,48060.716,5511.55,0,1958.12716773017,93449.8571677302
1968,37919.464,52029.032,5511.55,0,7056.30849473,102516.35449473
1969,37919.464,60627.05,5511.55,24,3181.0136137164,107263.077613716
1970,40124.084,76720.776,5511.55,531,3565.38760409404,126452.797604094
1971,42108.242,64154.442,5511.55,100,1023.06482213619,112897.298822136
1972,44092.4,71870.612,5511.55,352,13329.1841842674,135155.746184267
1973,46076.558,85759.718,5732.012,97,8909.98856118979,146575.27656119
1974,48060.716,42769.628,5732.012,575,6031.96680742205,103169.322807422
1975,50044.874,34171.61,5732.012,7113,3187.66751008461,100249.163510085
1976,52029.032,42328.704,5732.012,2668,5440.45217621343,108198.200176213
1977,54013.19,117065.322,5952.474,2147,6431.14941980015,185609.1354198
1978,55997.348,132718.124,5952.474,1137,12740.2204145364,208545.166414536
1979,57981.506,209438.9,5952.474,856,16215.8262052644,290444.706205264
1980,59965.664,154323.4,5952.474,3533,16286.7885496417,240061.326549642
1981,35053.458,178574.22,5952.474,2042,3508.00696505043,225130.15896505
1982,73641.4311051738,121033.638,6172.936,1376,17383.4014967981,219607.406601972
1983,65109.1445118598,113537.93,6172.936,1456,11547.4621667869,197823.472678647
1984,48552.4354589252,164905.576,6393.398,543,6287.96049586091,226682.369954786
1985,54770.9610825058,263672.552,6393.398,237,4878.29560395129,329952.206686457
1986,70836.5208132934,299828.32,6834.322,583,6004.89451776958,384087.057331063
1987,47668.0502940444,288805.22,7936.632,466,5479.70898551045,350355.611279555
1988,72456.8745593748,383603.88,8377.556,8462,5191.33899800901,478091.649557384
1989,79711.5655422966,383603.88,8818.48,3029,3831.35814604351,478994.28368834
1990,64623.2864981748,383603.88,9259.404,833,3150.94378267953,461470.514280854
1991,73390.3271358862,319669.9,9700.328,794,2832.08410886968,406386.639244756
1992,57944.179358318,96562.356,9920.79,527,2093.33669090558,167047.662049224
1993,37503.7580308864,123017.796,10361.714,754,2805.26955719726,174442.537588084
1994,58685.198547569,266979.482,10582.176,281,966.843414813569,337494.699962382
1995,46757.5232743124,133820.434,10802.638,456,926.836880010233,192763.432154323
1996,43616.0042814936,57981.506,11023.1,82,1019.78178713348,113722.392068627
1997,34477.6428041122,46076.558,11243.562,10,658.493918164219,92466.2567222764
1998,31497.217224528,71209.226,11464.024,0,561.036975200464,114731.504199728
1999,25074.8976304574,44092.4,11684.486,67,434.33898998223,81353.1226204396
2000,35264.5724112,55115.5,11904.948,13,262.368225294211,102560.388636494
2001,48488.7870654,61729.36,12125.41,50,225.235484788515,122618.792550189
2002,18466.6907832,15652.802,12345.872,3,120.546459186816,46588.9112423868
2003,20843.6459286,23368.972,12566.334,0,87.6843084701726,56866.6362370702
2004,16940.6087268,21384.814,13007.258,0,3.18773380293984,51335.8684606029
2005,8536.178409,23809.896,5952.474,0,15.8872399728057,38314.4356489728
2006,13570.0533936,9038.942,5952.474,0,6.30862527853739,28567.7780188785
2007,5220.5181138,16579.1171854,6172.936,0,19.7975559389798,27992.368855139
2008,9809.7432906,20828.3017734,6172.936,0,4.78498967989572,36815.7660536799
2009,9107.0868042,14231.9685024,6172.936,0,19.7566517787206,29531.7479583787
2010,10150.0925262,14368.390388,6172.936,0,3.4676363587725,30694.8865505588
2011,10550.8263036,14878.649687,6172.936,20,1.30960825297281,31623.721598853
2012,11182.1192406,11249.3821968,6172.936,0,3.99193556547912,28608.4293729655
2013,24565.529505,11324.9345242,6172.936,0,0.104168351071791,42063.5041975511
2014,4188.4913994,11173.5873612,6172.936,0,2.70293500380215,21537.7176956038
2015,13460.2633176,12097.6979266,6172.936,0,0,31730.8972442
2016,19674.3816192,9456.0781502,6172.936,20,5.40290905876612,35328.7986784588
2017,22715.5667244,15440.607325,6172.936,0,29.541369134495,44358.6514185345
2018,17160.1888788,5987.086534,6172.936,53,2.9735162697978,29376.1849290698
2019,10759.427448,6081.0694846,6172.936,9,6.46995353925225,23028.9028861393
