"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,160.893,NA,160.893
1922,51.725,NA,51.725
1923,52.936,NA,52.936
1924,120.875,NA,120.875
1925,69.157,NA,69.157
1926,164.265,NA,164.265
1927,567.461,NA,567.461
1928,142.475,NA,142.475
1929,223.537,NA,223.537
1930,585.238,NA,585.238
1931,234.965,NA,234.965
1932,91.5,NA,91.5
1933,5.6,NA,5.6
1935,866.28,NA,866.28
1936,756.68,NA,756.68
1937,749.25,NA,749.25
1938,693.79,1247.83084097095,1941.62084097095
1939,669.14,1017.08223387843,1686.22223387843
1940,270.26,1188.01632985788,1458.27632985788
1941,312.53,1333.11338275502,1645.64338275502
1942,0,2984.9117018038,2984.9117018038
1943,2274.36,1288.53886055401,3562.89886055401
1944,3341.71,1365.85119218725,4707.56119218725
1945,2127.56,1447.80226371849,3575.36226371849
1946,2611.67,1534.6703995416,4146.3403995416
1947,1533.85,1626.75062351409,3160.60062351409
1948,2379.6,1724.35566092494,4103.95566092494
1949,1589.91,1827.81700058043,3417.72700058043
1950,1010.07,1937.48602061526,2947.55602061526
1951,636.75,2053.73518185218,2690.48518185218
1952,1392.04,2176.95929276331,3568.99929276331
1953,1548.77,2307.5768503291,3856.3468503291
1954,1466.61,2446.03146134885,3912.64146134885
1955,420,2592.79334902978,3012.79334902978
1956,240,2748.36094997157,2988.36094997157
1957,624,2913.26260696986,3537.26260696986
1958,1380,3088.05836338805,4468.05836338805
1959,37.5,3273.34186519134,3310.84186519134
1960,470,3469.74237710282,3939.74237710282
1961,520.5,3677.92691972899,4198.42691972899
1962,254.5,3898.60253491273,4153.10253491273
1963,50,4132.51868700749,4182.51868700749
1964,539.5,4380.46980822794,4919.96980822794
1965,65,30381.6680061059,30446.6680061059
1966,29.5,6483.62368401096,6513.12368401096
1967,13.5,1958.12716773017,1971.62716773017
1968,1,7056.30849473,7057.30849473
1969,89.5,3181.0136137164,3270.5136137164
1970,1955,4424.74293680631,6379.74293680631
1971,204.5,833.236064378026,1037.73606437803
1972,1798.5,19700.6833937036,21499.1833937036
1973,2372.5,14128.2037851344,16500.7037851344
1974,4688,6192.42526541743,10880.4252654174
1975,8357.5,5608.9845927663,13966.4845927663
1976,5999,7475.87956765096,13474.879567651
1977,5162,8620.91701349962,13782.9170134996
1978,6547.5,13963.6929464826,20511.1929464826
1979,6014,18232.065040111,24246.065040111
1980,9161.5,23618.4029652669,32779.9029652669
1981,7068,5619.93836679042,12687.9383667904
1982,6325,18675.0415314311,25000.0415314311
1983,4231,16896.1974179853,21127.1974179853
1984,1625,8346.32531280591,9971.32531280591
1985,1691,7157.79783709223,8848.79783709223
1986,1573.5,9228.71475166491,10802.2147516649
1987,2785,11320.3925621188,14105.3925621188
1988,12824.5,8171.06538397416,20995.5653839742
1989,10313,6565.8929211767,16878.8929211767
1990,7113,4531.98810089845,11644.9881008985
1991,4566.5,12178.3446778206,16744.8446778206
1992,5067,4731.80558678103,9798.80558678103
1993,2102.5,5684.59786822995,7787.09786822995
1994,551.5,5254.66534388666,5806.16534388666
1995,709,3848.08865183632,4557.08865183632
1996,155.5,4403.86009231899,4559.36009231899
1997,12.5,5733.76438001978,5746.26438001978
1998,9,2958.68171688916,2967.68171688916
1999,95.5,1982.01123927305,2077.51123927305
2000,33.5,1696.11627340419,1729.61627340419
2001,88,966.13366121851,1054.13366121851
2002,3,887.962327622712,890.962327622712
2003,0,350.73723388069,350.73723388069
2004,0,12.7509352117593,12.7509352117593
2005,0,63.5489598912228,63.5489598912228
2006,0,25.2345011141496,25.2345011141496
2007,0,178.557158268071,178.557158268071
2008,0,19.1399587195829,19.1399587195829
2009,0,79.0266071148826,79.0266071148826
2010,0,13.87054543509,13.87054543509
2011,20,5.23843301189125,25.2384330118912
2012,0,15.9677422619165,15.9677422619165
2013,0,0.416673404287163,0.416673404287163
2014,0,10.8117400152086,10.8117400152086
2015,0,0,0
2016,20,21.6116362350645,41.6116362350645
2017,0,118.16547653798,118.16547653798
2018,53,11.8940650791912,64.8940650791912
2019,9,25.879814157009,34.879814157009
2020,0,NA,0
